lon,lat,campground_code,campground_name,type,phone_number,dates_open,comments,num_campsite,amenities,state,bearing_to_town,nearest_town,toilets,drinking_water,reservations,showers,pets,opening_week,closing_week,elevation_m,distance_to_town_km
-146.012,63.052,TANG,Tangle Lakes,BLM,907-822-3217,NA,NA,25,NR,AK,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
-149.576,63.671,TEKL,Teklanika  River - Denali National Park,NP,800-622-7275,NA,NA,55,NH NR,AK,SW,Healy,NA,NA,FALSE,NA,NA,NA,NA,NA,36.37
-149.497,60.636,TEND,Tenderfoot Creek,NF,907-224-3374/907-743-9500,early jun-late aug,NA,33,NH RS,AK,NW,Moose Pass,NA,NA,TRUE,NA,NA,23,34,NA,18.02
-149.557,60.531,TERN,Tern Lake,NA,NA,NA,NA,NA,NA,AK,NW,Moose Pass,NA,NA,NA,NA,NA,NA,NA,NA,11.43
-142.839,63.325,TOKR,Tok River State Rec Area,SRA,907-451-2405,NA,NA,45,NR,AK,E,Tok,NA,NA,FALSE,NA,NA,NA,NA,NA,7.4
-149.381,60.416,TRAI,Trail River,NF,907-224-3374/907-743-9500,early jun-late aug,NA,114,NH RS,AK,S,Moose Pass,NA,NA,TRUE,NA,NA,23,34,NA,8.05
-147.257,65.192,UPPC,Upper Chatanika River State Rec Area,SRA,907-451-2695,NA,NA,25,NR,AK,NE,Fairbanks,NA,NA,FALSE,NA,NA,NA,NA,NA,44.9
-150.319,60.438,UPPS,Upper Skilak,NWR,907-262-5581,NA,NA,25,NR,AK,W,Cooper Landing,NA,NA,FALSE,NA,NA,NA,NA,NA,27.2
-146.214,61.138,VALD,Valdez Glacier,CP,907-873-4058,NA,NA,87,E DP 30ft SH NR,AK,E,Valdez,NA,NA,FALSE,TRUE,NA,NA,NA,NA,7.24
-141.633,64.077,WALK,Walker Fork - Taylor Hwy,BLM,907-883-5121,NA,NA,21,NH VT NR,AK,E,Chicken,vault,NA,FALSE,NA,NA,NA,NA,NA,14.81
-142.229,63.886,WESF,West Fork - Taylor Hwy,BLM,907-883-5121,NA,NA,25,NH VT NR,AK,NA,NA,vault,NA,FALSE,NA,NA,NA,NA,NA,NA
-147.73,65.087,WHIT,Whitefish - Lower Chatanika State Rec Area,SRA,NA,NA,NA,25,VT DW NR,AK,N,Fairbanks,vault,TRUE,FALSE,NA,NA,NA,NA,NA,27.68
-148.88,60.786,WILW,Williwaw,NF,907-783-3242/907-743-9500,early jun-late aug,NA,68,NH RS,AK,SE,Girdwood,NA,NA,TRUE,NA,NA,23,34,NA,23.98
-150.058,61.753,WILL,Willow Creek State Rec Area,SRA,907-745-3975,NA,NA,140,NR,AK,SW,Willow,NA,NA,FALSE,NA,NA,NA,NA,NA,4.02
-124.23,40.269,AWWA,A.W. Way County Park,CP,707-445-7651,NA,Nice out of the way park - Halfway along beautiful drive called Patrolia Loop,30,NH ND FT DW SH NR,CA,S,Ferndale,flush,TRUE,FALSE,TRUE,NA,NA,NA,NA,34.28
-122.771,40.786,ACKE,Ackerman,NF,530-275-1587/530-226-2500,NA,NA,66,NH DP 40ft FT DW NS NR,CA,N,Lewiston,flush,TRUE,FALSE,FALSE,NA,NA,NA,586,10.14
-120.798,38.177,ACOR,Acorn - New Hogan Lake,COE,209-772-1343,all year,NA,NA,NH DP FT DW SH RS PA,CA,SE,Valley Springs,flush,TRUE,TRUE,TRUE,TRUE,1,52,NA,3.22
-120.52,37.978,ACOR,Acorn - Tuttletown Area - New Melones Lake,BOR,209-536-9094,NA,NA,69,FT DW RS,CA,NA,Sonora,flush,TRUE,TRUE,NA,NA,NA,NA,NA,NA
-117.408,34.576,ADEL,Adelanto City Park,CP,NA,NA,NA,21,NH ND NS N$,CA,S,Adelanto,NA,NA,NA,FALSE,NA,NA,NA,880,0.8
-117.103,32.792,ADMI,Admiral Baker Military - San Diego NS,MIL,619-487-0090,NA,military only - do not use our lat/lon - contact them for directions and info,NA,E DP FT DW SH RS,CA,NE,San Diego,flush,TRUE,TRUE,TRUE,NA,NA,NA,NA,9.98
-119.112,37.804,AERI,Aerie Crag RV Camp,NF,760-647-3045/760-873-2400,NA,no tents,15,NH ND FT NS NR,CA,NW,June Lake,flush,NA,FALSE,FALSE,NA,NA,NA,2197,4.18
-116.384,35.038,AFTO,Afton Canyon,BLM,760-252-6000,all year,4 wheel drive required,22,NH VT NW NR L$,CA,SW,Baker,vault,FALSE,FALSE,NA,NA,1,52,NA,37.98
-119.09,37.682,AGNE,Agnew Meadows,NF,760-924-5500/760-873-2400,NA,NA,21,NH ND 30ft VT DW NS NR,CA,W,Mammoth Lakes,vault,TRUE,FALSE,FALSE,NA,NA,NA,1494,11.1
-116.302,32.95,AGUA,Agua Caliente,CP,760-765-1188,NA,hot springs - res: 877.565.3600,141,WE DP 40ft DW SH RS,CA,NW,Ocotillo,NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,37.18
-122.097,41.11,AHDI,Ah - Di - Na,NF,530-926-4511/530-226-2500,NA,No RVs,17,NH ND FT DW NS NR,CA,E,Castella,flush,TRUE,FALSE,FALSE,NA,NA,NA,664,18.67
-120.406,39.146,AHAR,Ahart,NF,530-367-2224/530-265-4531,NA,NA,12,NH ND 25ft VT NW NS NR,CA,E,Foresthill,vault,FALSE,FALSE,FALSE,NA,NA,NA,1636,38.14
-123.647,40.226,AIKE,Aikens Creek,NF,530-627-3291/707-442-1721,NA,NA,15,NH DP VT DW NS NR,CA,NA,NA,vault,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
-120.38,38.985,AIRP,Airport Flat,NF,530-644-2349/530-622-5061,mid may-mid oct,NA,16,NH ND VT DW NS NR N$,CA,NE,Pollock Pines,vault,TRUE,FALSE,FALSE,NA,20,42,1647,30.74
-118.108,36.595,ALAB,Alabama Hills Rec Area,BLM,NA,NA,dispersed - off Movie Flat Rd - no facil,NA,NH ND NT NW NS NR L$,CA,W,Lone Pine,none,FALSE,FALSE,FALSE,NA,NA,NA,NA,4.18
-121.889,37.659,ALAM,Alameda County Fairgrounds RV,CP,NA,NA,NA,NA,E,CA,W,Pleasanton,NA,NA,NA,NA,NA,NA,NA,NA,1.29
-124.009,40.353,ALBE,Albee Creek State Park,SP,707-946-2472,NA,NA,40,NH ND 33ft FT DW SH NR,CA,NW,Weott,flush,TRUE,FALSE,TRUE,NA,NA,NA,NA,8.21
-118.612,35.72,ALDC,Alder Creek,NF,760-379-5646/559-784-1500,NA,NA,13,NH ND 20ft VT NW NS NR N$,CA,E,Glennville,vault,FALSE,FALSE,FALSE,NA,NA,NA,1200,8.37
-121.495,40.21,ALDE,Alder Creek,NF,530-258-2141/530-257-2151,NA,NA,5,NH ND VT NW NS NR,CA,NA,NA,vault,FALSE,FALSE,FALSE,NA,NA,NA,1188,NA
-121.883,41.256,ALGO,Algoma,NF,530-926-4511/530-226-2500,NA,NA,10,NH ND 27ft VT NW NS NR N$,CA,E,Mccloud,vault,FALSE,FALSE,FALSE,NA,NA,NA,1173,21.4
-119.768,34.908,ALIS,Aliso Park,NF,661-245-3731/805-961-5778,NA,NA,10,NH ND 22ft VT NW NS NR,CA,NA,NA,vault,FALSE,FALSE,FALSE,NA,NA,NA,856,NA
-121.177,40.217,ALMA,Almanor,NF,530-258-2141/530-257-2151,early may-late sep,NA,103,NH DP 28ft VT DW NS RS,CA,SE,Chester,vault,TRUE,TRUE,FALSE,NA,18,39,1412,10.94
-120.121,39.323,ALPM,Alpine Meadows,COE,530-587-8113,NA,NA,NA,NH ND VT NS NR,CA,E,Truckee,vault,NA,FALSE,FALSE,NA,NA,NA,1781,5.31
-122.766,40.887,ALPI,Alpine View,NF,530-275-1587/530-226-2500,NA,NA,56,NH ND 32ft FT DW NS NR,CA,SW,Trinity Center,flush,TRUE,FALSE,FALSE,NA,NA,NA,776,12.07
-115.781,34.557,AMBO,Amboy Crater,BLM,NA,NA,shade at tables only,NA,NH ND VT NW NS NR N$,CA,W,Amboy,vault,FALSE,FALSE,FALSE,NA,NA,NA,NA,3.38
-120.266,35.284,AMER,American Canyon,NF,805-925-9538/805-961-5778,NA,NA,14,NH ND VT NW NS NR L$,CA,E,San Luis Obisp,vault,FALSE,FALSE,FALSE,NA,NA,NA,518,35.73
-121.833,36.283,ANDR,Andrew Molera State Park,SP,831-667-2315,NA,long walk to sites,24,NH NR,CA,NW,Big Sur,NA,NA,FALSE,NA,NA,NA,NA,NA,2.74
-118.177,34.726,ANTE,Antelope Valley Fairgrounds RV Park,CP,661-206-0427,NA,no tents,62,E ND DW SH,CA,NW,Lancaster,NA,TRUE,NA,TRUE,NA,NA,NA,706,4.83
-122.105,37.759,ANTH,Anthony Chabot Regional Park,CP,888-327-2757,NA,NA,NA,E DP FT DW SH,CA,E,Oakland,flush,TRUE,NA,TRUE,NA,NA,NA,NA,15.45
-122.381,40.886,ANTL,Antlers,NF,530-275-1587/530-226-2500,all year,NA,57,NH ND 40ft NS RS,CA,S,Lakehead,NA,NA,TRUE,FALSE,NA,1,52,NA,2.09
-117.717,34.389,APPL,Appletree,NF,661-296-9710/626-574-1613,NA,NA,8,NH ND VT DW NS NR L$,CA,NW,Big Pines,vault,TRUE,FALSE,FALSE,NA,NA,NA,1878,2.74
-117.493,34.26,APPW,Applewhite,NF,909-382-2850/909-382-2600,NA,NA,44,NH ND 30ft FT DW NS NR L$,CA,E,Lytle Creek,flush,TRUE,FALSE,FALSE,NA,NA,NA,1014,0.64
-122.119,40.765,ARBU,Arbuckle Flat,NF,530-275-1587/530-226-2500,NA,NA,9,NR,CA,NE,Bella Vista,NA,NA,FALSE,NA,NA,NA,NA,NA,19.47
-121.483,36.235,ARRO,Arroyo Seco,NF,831-385-5434/805-961-5778,all year,NA,40,NH ND 26ft FT DW SH RS,CA,SW,Greenfield,flush,TRUE,TRUE,TRUE,NA,1,52,NA,23.5
-122.06,41.117,ASHC,Ash Camp,NF,530-926-4511/530-226-2500,NA,NA,5,NH ND NS NR,CA,E,Castella,NA,NA,FALSE,FALSE,NA,NA,NA,761,21.73
-120.828,41.161,ASHK,Ash Creek,NF,530-299-3215/530-233-5811,all year,NA,7,NH ND 22ft VT NW NS NR N$,CA,E,Adin,vault,FALSE,FALSE,FALSE,NA,1,52,1492,10.46
-119.188,37.939,ASPN,Aspen,NF,760-647-3045/760-873-2400,NA,NA,52,40ft PT DW NR,CA,W,Lee Vining,pit,TRUE,FALSE,NA,NA,NA,NA,2294,6.28
-120.772,40.556,ASPE,Aspen Grove,NF,530-257-4188/530-257-2151,NA,NA,28,NH ND NS NR,CA,NW,Susanville,NA,NA,FALSE,FALSE,NA,NA,NA,1575,18.51
-118.668,36.464,ATWE,Atwell Mill - Sequoia National Park,NP,559-565-3341,NA,Tent only,21,NH DP VT DW NS NR,CA,SE,Grant Grove,vault,TRUE,FALSE,FALSE,NA,NA,NA,2063,41.68
-123.011,38.566,AUST,Austin Creek State Rec Area,SRA,707-869-2015,NA,NA,NA,20ft FT DW NR,CA,N,Guerneville,flush,TRUE,FALSE,NA,NA,NA,NA,NA,7.24
-118.457,35.652,AUXI,Auxiliary Dam,NF,760-379-5646/559-784-1500,NA,dispersed,250,NH ND FTVT DW NS NR N$,CA,N,Lake Isabella,flush_and_vault,TRUE,FALSE,FALSE,NA,NA,NA,804,4.02
-118.966,36.742,AZAL,Azalea - Sequoia and Kings Canyon National Park,NP,559-565-3341,NA,3 campgrounds,300,NH DP 30ft FT DW SH NR,CA,SE,Grant Grove,flush,TRUE,FALSE,TRUE,NA,NA,NA,2007,0.97
-119.116,37.269,BADG,Badger Flat,NF,559-855-5355/559-297-0706,NA,NA,15,NH ND VT NW SH NR,CA,E,Lakeshore,vault,FALSE,FALSE,TRUE,NA,NA,NA,2522,5.47
