lon,lat,campground_code,campground_name,type,phone_number,dates_open,comments,num_campsite,amenities,state,bearing_to_town,nearest_town,toilets,drinking_water,reservations,showers,elevation_m,distance_to_town_km,station_code,station_elevation,station_dist_km
-122.064,37.237,SANB,Sanborn - Skyline County Park,CP,NA,NA,NA,NA,E DP 31ft,CA,W,Los Gatos,NA,NA,NA,NA,NA,9.01,USC00045123,111,9.32
-121.688,37.57,DELV,Del Valle Regional Park,CP,888-327-2757,NA,NA,150,NH DP FT DW SH,CA,SE,Livermore,flush,TRUE,NA,TRUE,NA,14.32,USC00044997,146,15.34
-121.954,38.271,TRAV,Travis AFB Military,MIL,707-424-3583,NA,military only - do not use our lat/lon - contact them for directions and info,NA,RS,CA,NA,NA,NA,NA,TRUE,NA,NA,NA,USW00023202,18,1.87
-122.221,37.169,BIG3,Big Basin Redwoods State Park,SP,831-338-8860,early mar-late dec,NA,102,NH DP 27ft FT DW SH RS,CA,NW,Boulder Creek,flush,TRUE,TRUE,TRUE,NA,9.98,USC00040673,128,15.6
-121.694,38.111,BRAI,Brannan Island State Rec Area,SRA,916-777-6671,all year,NA,127,E DP 36ft FT DW SH RS,CA,S,Rio Vista,flush,TRUE,TRUE,TRUE,NA,4.99,USC00040232,18,15.08
-122.539,38.442,SUGL,Sugarloaf Ridge State Park,SP,707-833-5712,all year,NA,49,NH DP 27ft FT DW NS RS,CA,N,Kenwood,flush,TRUE,TRUE,FALSE,NA,3.22,USC00047643,69,9.29
-121.694,38.149,SANP,Sandy Beach County Park,CP,707-374-2097,NA,NA,NA,E DP DW SH,CA,S,Rio Vista,NA,TRUE,NA,TRUE,NA,0.8,USC00040232,18,19.1
-122.699,38.425,SONF,Sonoma County Fairgrounds RV Park,CP,707-293-8410,NA,NA,NA,E DW SH,CA,SE,Santa Rosa,NA,TRUE,NA,TRUE,NA,2.25,USW00023213,35,13.08
-122.653,38.448,SPRL,Spring Lake Regional Park,CP,707-565-2267,NA,NA,NA,NH DP DW SH,CA,E,Santa Rosa,NA,TRUE,NA,TRUE,NA,5.31,USW00023213,35,15.06
-121.722,37.342,GRAC,Grant County Park,CP,408-274-6121,NA,NA,NA,NH 30ft DW SH,CA,E,San Jose,NA,TRUE,NA,TRUE,500,15.29,USC00045933,1282,7.05
-121.529,37.628,CARN,Carnegie State Vehicle Rec Area,SP,925-447-9027,NA,off road vehicle area,23,NH ND FT DW NS NR L$,CA,SW,Tracy,flush,TRUE,FALSE,FALSE,NA,15.45,USC00048999,41,17.16
-123.042,38.315,DORN,Doran Regional Park,CP,NA,NA,NA,NA,NH DP DW SH,CA,S,Bodega Bay,NA,TRUE,NA,TRUE,NA,2.09,USW00093245,19,2.93
-123.055,38.323,WERP,Westside Regional Park,CP,707-875-3540,NA,NA,NA,NH DP DW SH,CA,SW,Bodega Bay,NA,TRUE,NA,TRUE,NA,1.29,USW00093245,19,1.74
-122.201,38.509,LUPI,Lupine Shores - Lake Berryessa - USBR,BOR,707-966-9088,NA,NA,NA,NA,CA,N,Napa,NA,NA,NA,NA,NA,24.62,USC00045360,146,6.97
-123.054,38.341,BODE,Bodega Dunes - Sonoma Coast State Park,SP,707-875-3483,all year,NA,98,NH DP 31ft FT DW SH RS,CA,NW,Bodega Bay,flush,TRUE,TRUE,TRUE,NA,0.97,USW00093245,19,2.88
-122.213,38.522,FOOT,Foothill Pines - Lake Berryessa - USBR,BOR,707-966-9088,NA,NA,NA,NA,CA,N,Napa,NA,NA,NA,NA,NA,25.75,USC00045360,146,8.44
-122.535,38.546,BOTH,Bothe - Napa Valley State Park,SP,707-942-4575,all year,NA,NA,NH 31ft FT DW SH RS,CA,SE,Calistoga,flush,TRUE,TRUE,TRUE,NA,5.31,USC00047643,69,7.06
-122.029,38.493,LAKU,Lake Solano County Park,CP,530-795-2990,NA,NA,NA,E DP DW SH,CA,SW,Winters,NA,TRUE,NA,TRUE,NA,6.12,USC00044712,57,2.19
-122.041,37.031,HENR,Henry Cowell Redwoods State Park,SP,831-438-2396,early mar-late dec,NA,113,NH ND 35ft FT DW SH RS,CA,SW,Scotts Valley,flush,TRUE,TRUE,TRUE,NA,3.22,USC00047916,40,6.31
-121.489,38.126,WEST,Westgate Landing Regional Park,CP,209-953-8800,NA,NA,14,NH ND NS RS,CA,W,Lodi,NA,NA,TRUE,FALSE,NA,18.99,USC00040232,18,28.03
-122.586,38.583,NAPF,Napa County Fairgrounds,CP,707-942-5111,NA,NA,NA,E DP SH,CA,NW,Calistoga,NA,NA,NA,TRUE,NA,0.64,USC00041312,122,1.98
-123.094,38.4,WRIB,Wrights Beach - Sonoma Coast State Park,SP,707-875-3483,all year,NA,30,NH ND 27ft FT DW NS RS,CA,NW,Bodega Bay,flush,TRUE,TRUE,FALSE,NA,8.53,USW00093245,19,8.95
-122.267,38.599,MANZ,Manzanita Canyon - Lake Berryessa - USBR,BOR,707-966-9088,NA,NA,NA,NA,CA,N,Napa,NA,NA,NA,NA,NA,33.64,USC00040212,523,15.4
-121.793,37.085,UVAS,Uvas Canyon County Park,CP,408-779-9232,NA,NA,25,NH ND FT DW NS L$,CA,W,Morgan Hill,flush,TRUE,NA,FALSE,NA,13.36,USW00023277,49,16.56
-122.288,38.625,CHAP,Chaparral Cove - Lake Berryessa - USBR,BOR,707-966-9088,NA,NA,NA,NA,CA,N,Napa,NA,NA,NA,NA,NA,36.37,USC00040212,523,14.49
-121.998,36.973,SACP,Santa Cruz Port District,CP,831-475-3279,NA,NA,12,WES DP NS,CA,E,Santa Cruz,NA,NA,NA,FALSE,NA,2.9,USC00047916,40,2.05
-121.937,36.983,NEWB,New Brighton State Beach,SP,831-464-6330,all year,NA,102,WES DP 36ft FT DW SH RS,CA,NE,Capitola,flush,TRUE,TRUE,TRUE,NA,1.61,USC00047916,40,4.89
-121.311,37.83,DOSR,Dos Reis,CP,209-953-8800,NA,NA,NA,E DP 60ft FT DW SH,CA,W,Lathrop,flush,TRUE,NA,TRUE,NA,3.06,USW00023237,8,9.97
-121.919,36.974,SEAC,Seacliff State Beach,SB,831-685-6442,all year,NA,30,NH ND 40ft FT DW SH RS,CA,W,Aptos,flush,TRUE,TRUE,TRUE,NA,1.77,USC00047916,40,6.68
-121.373,37.42,FRAN,Frank Raines Regional Park,CP,209-525-6750,NA,NA,34,E DP FT DW SH L$,CA,NA,Patterson,flush,TRUE,NA,TRUE,NA,NA,USC00045933,1282,25.33
-121.546,37.188,HENC,Henry Coe State Park,SP,408-779-2728,all year,NA,20,NH ND 22ft VT DW NS RS,CA,NE,Morgan Hill,vault,TRUE,TRUE,FALSE,841,11.59,USC00045933,1282,19.27
-121.269,37.854,SHAR,Sharpe RV Military,MIL,209-639-1016,NA,closing 9/2013 - military only - do not use our lat/lon - contact them for directions and info,NA,RS,CA,S,French Camp,NA,NA,TRUE,NA,NA,3.38,USW00023237,8,5.45
-123.011,38.566,AUST,Austin Creek State Rec Area,SRA,707-869-2015,NA,NA,NA,20ft FT DW NR,CA,N,Guerneville,flush,TRUE,FALSE,NA,NA,7.24,USW00023213,35,18.81
-121.702,37.001,MOUN,Mount Madonna,CP,408-355-2201,NA,NA,111,E DP 31ft FT DW,CA,W,Gilroy,flush,TRUE,NA,NA,NA,11.91,USC00049473,29,9.82
-121.853,36.92,MANR,Manresa State Beach,SP,831-761-1795,early mar-late dec,NA,64,NH ND FT DW SH RS,CA,SE,Aptos,flush,TRUE,TRUE,TRUE,NA,7.56,USW00023277,49,6
-123.228,38.508,FORR,Fort Ross State Park,SP,707-847-3286,NA,NA,NA,NR,CA,NW,Bodega Bay,NA,NA,FALSE,NA,NA,24.94,USW00093245,19,24.72
-121.767,36.95,PINT,Pinto Lake Park,CP,831-722-8129,NA,NA,28,WES DP NS,CA,N,Watsonville,NA,NA,NA,FALSE,NA,4.51,USC00049473,29,2.14
-121.183,37.7,CASW,Caswell Memorial State Park,SP,209-599-3810,all year,NA,65,NH ND 24ft FT DW SH RS,CA,SW,Ripon,flush,TRUE,TRUE,TRUE,NA,6.12,USC00048999,41,14.58
-121.832,36.899,SUN3,Sunset State Beach,SB,831-763-7062,all year,NA,90,NH ND 31ft DW SH RS,CA,W,Watsonville,NA,TRUE,TRUE,TRUE,NA,6.76,USW00023277,49,5.62
-121.528,37.078,COYO,Coyote Lake County Park,CP,408-842-7800,NA,NA,74,NH ND 31ft FT DW NS L$,CA,NE,Gilroy,flush,TRUE,NA,FALSE,NA,8.69,USC00043417,59,8.81
-121.765,38.667,YOLO,Yolo County Fair RV,CP,530-402-2222,NA,NA,NA,E DP NS,CA,SE,Woodland,NA,NA,NA,FALSE,NA,1.45,USC00049781,20,3.07
-122.375,38.809,LOWH,Lower Hunting Creek  - Knoxville Rec Area,BLM,NA,NA,NA,5,NH ND VT NW NS NR,CA,SE,Clearlake,vault,FALSE,FALSE,FALSE,NA,27.36,USC00041806,411,21
-123.296,38.548,STIL,Stillwater Cove Regional Park,CP,707-847-3245,NA,NA,23,NH DP 20ft FT DW SH,CA,NW,Jenner,flush,TRUE,NA,TRUE,NA,19.15,USW00093245,19,31.77
-123.324,38.569,SALT,Salt Point State Park,SP,707-847-3221,all year,NA,30,NH ND 31ft FT DW NS RS,CA,NW,Jenner,flush,TRUE,TRUE,FALSE,NA,22.53,USW00093245,19,35.11
-122.696,38.83,CALS,Calso - Boggs Mountain Demo Forest,SF,707-928-4378,NA,NA,13,NH ND PT NW NS NR,CA,NA,NA,pit,FALSE,FALSE,FALSE,992,NA,USC00041806,411,15.28
-123.072,38.727,LIBE,Liberty Glen,NA,NA,NA,NA,NA,NH DP DW SH RS,CA,NW,Healdsburg,NA,TRUE,TRUE,TRUE,NA,21.89,USC00041838,101,9.39
-121.434,38.595,CALX,Cal Expo RV Park,CP,916-263-3187,NA,NA,NA,E DW SH,CA,E,Sacramento,NA,TRUE,NA,TRUE,NA,5.47,USW00023271,12,4.62
-123.024,38.804,CLOF,Cloverdale Citrus Fair,CP,707-894-3992,NA,NA,NA,E DP DW SH,CA,W,Cloverdale,NA,TRUE,NA,TRUE,NA,0.64,USC00041838,101,0.72
-122.319,38.916,CACC,Cache Creek Canyon County Park,CP,530-666-8115,NA,NA,45,NH DP NS,CA,NW,Woodland,NA,NA,NA,FALSE,NA,54.23,USC00041806,411,21.54
-121.094,38.332,RANC,Rancho Seco,UTIL,NA,early apr-late oct,NA,30,E DP DW SH L$,CA,E,Herald,NA,TRUE,NA,TRUE,NA,13.84,USC00048713,483,26.11
-121.094,38.332,RACO,Rancho Seco Rec Area,UTIL,209-748-2318,NA,NA,NA,E DP SH,CA,E,Herald,NA,NA,NA,TRUE,NA,13.84,USC00048713,483,26.11
-120.874,37.843,WOOR,Woodward Reservoir,CP,209-847-3304,NA,NA,155,E DP FT DW SH,CA,N,Oakdale,flush,TRUE,NA,TRUE,NA,8.85,USW00023258,22,25.21
-120.959,37.36,GEOR,George Hatfield State Rec Area,SRA,209-632-1852,mid may-late dec,NA,15,NH ND FT DW NS RS,CA,SW,Hilmar,flush,TRUE,TRUE,FALSE,NA,10.78,USC00046168,27,10.19
-121.911,36.6,VETE,Veterans Memorial Park,CP,831-646-3865,NA,NA,NA,NH DP 21ft,CA,W,Monterey,NA,NA,NA,NA,NA,1.45,USC00045802,37,5.02
-121.502,36.76,FREP,Fremont Peak State Park,SP,831-623-4255,mid may-late dec,NA,21,NH ND 25ft FT DW NS RS,CA,S,San Juan Bautista,flush,TRUE,TRUE,FALSE,846,9.98,USC00044025,84,12.16
-121.862,36.595,MONF,Monterey County Fairgrounds RV,CP,831-657-9347,NA,NA,NA,WES DW SH,CA,E,Monterey,NA,TRUE,NA,TRUE,NA,2.9,USC00045802,37,0.62
-121.861,36.59,MONT,Monterey Pines RV Military,MIL,831-656-7563,NA,military only - do not use our lat/lon - contact them for directions and info,NA,RS,CA,E,Monterey,NA,NA,TRUE,NA,NA,3.22,USC00045802,37,0.57
-122.814,39.008,CLEA,Clear Lake State Park,SP,707-279-4293,all year,NA,149,NH DP 35ft FT DW SH RS,CA,NE,Kelseyville,flush,TRUE,TRUE,TRUE,NA,4.02,USC00041806,411,23.34
-121.062,37.084,SANL,San Luis Creek - San Luis Reservoir,SRA,209-826-1197,all year,NA,53,NH DP 35ft FT DW SH RS,CA,NA,Gustine,flush,TRUE,TRUE,TRUE,NA,NA,USC00045118,37,17.64
-121.412,36.768,HOLL,Hollister Hills State Veh Rec Area,SP,831-637-3874,NA,7 campgrounds - off road veh,125,NH ND FT DW SH NR L$,CA,S,Hollister,flush,TRUE,FALSE,TRUE,NA,9.33,USC00044025,84,8.95
-122.509,39.07,BLUK,Blue Oaks,BLM,NA,NA,unknown facil,6,NH ND VT NW NS NR N$,CA,W,Williams,vault,FALSE,FALSE,FALSE,539,32.35,USC00041806,411,16.98
-123.516,38.756,GUAL,Gualala Point Regional Park,CP,707-785-2377,NA,NA,NA,NH DP DW SH,CA,SE,Gualala,NA,TRUE,NA,TRUE,NA,1.61,USC00041838,101,43.59
-121.755,36.579,LAGS,Laguna Seca,CP,831-755-4899,NA,NA,172,E DP FT DW SH,CA,SW,Salinas,flush,TRUE,NA,TRUE,NA,14.16,USW00023259,50,8.14
-121.063,37.031,BASA,Basalt State Rec Area - San Luis Reservoir,SRA,209-826-1197,NA,NA,79,NH ND 30ft FT DW SH RS,CA,S,Gustine,flush,TRUE,TRUE,TRUE,NA,25.75,USC00045118,37,17.69
-121.029,37.065,MEDE,Medeiros State Rec Area - San Luis Reservoir,SRA,209-826-1197,all year,NA,NA,NH ND PT DW NS NR,CA,S,Gustine,pit,TRUE,FALSE,FALSE,NA,21.57,USC00045118,37,14.47
-121.295,38.759,PLAF,Placer County Fair RV,CP,916-786-2023,NA,NA,NA,E DP DW SH,CA,NW,Roseville,NA,TRUE,NA,TRUE,NA,0.97,USC00040383,394,24.63
-120.798,38.177,ACOR,Acorn - New Hogan Lake,COE,209-772-1343,all year,NA,NA,NH DP FT DW SH RS PA,CA,SE,Valley Springs,flush,TRUE,TRUE,TRUE,NA,3.22,USC00048713,483,22.22
-120.79,38.181,OAKK,Oak Knoll - New Hogan Lake,COE,209-772-1343,mid may-late aug,NA,NA,NH DP NS RS PA L$,CA,E,Valley Springs,NA,NA,TRUE,FALSE,NA,3.54,USC00048713,483,21.8
-121.172,38.719,BEAP,Beals Point - Folsom Lake State Rec Area,SRA,916-988-0205,NA,NA,69,E DP 31ft FT DW SH RS,CA,N,Folsom,flush,TRUE,TRUE,TRUE,NA,4.67,USC00040383,394,22.25
-123.05,39.056,COWM,Cow Mountain Rec Area,BLM,707-468-4000,NA,narrow roads - no RVs - desert terrain- 5 areas,NA,NH ND VT NW NS NR N$,CA,SE,Ukiah,vault,FALSE,FALSE,FALSE,922,17.22,USW00023275,183,15.17
-120.659,37.659,MODE,Modesto Reservoir,CP,209-874-9540,NA,NA,150,E DP 45ft FT DW SH,CA,E,Waterford,flush,TRUE,NA,TRUE,NA,9.17,USC00049073,35,24.67
-120.711,37.416,MCCO,McConnell State Rec Area,SRA,209-394-7755,all year,NA,21,NH ND 30ft FT DW SH RS,CA,S,Ballico,flush,TRUE,TRUE,TRUE,NA,4.02,USC00049073,35,15.83
-120.939,36.987,LOSB,Los Banos Creek - San Luis Reservoir,SRA,209-826-1197,all year,NA,15,NH DP 30ft DW SH NR,CA,S,Gustine,NA,TRUE,FALSE,TRUE,NA,30.58,USC00045118,37,10.04
-122.018,39.205,COLF,Colusa County Fairgrounds,CP,530-458-2641,NA,NA,38,E DP DW SH,CA,SW,Colusa,NA,TRUE,NA,TRUE,NA,1.29,USC00041948,15,2.09
-121.075,38.789,PENS,Peninsula - Folsom Lake State Rec Area,SRA,916-988-0205,NA,NA,100,NH DP FT DW SH RS,CA,NE,Folsom,flush,TRUE,TRUE,TRUE,NA,15.13,USC00040383,394,13.14
-120.581,37.63,TURL,Turlock Lake State Rec Area,SRA,209-874-2056,mid may-late dec,NA,66,NH ND 27ft FT DW SH RS,CA,W,La Grange,flush,TRUE,TRUE,TRUE,NA,10.94,USC00049073,35,28.15
-122.015,39.218,COLU,Colusa - Sacramento River State Rec Area,SRA,530-458-4927,mid may-late dec,NA,14,NH DP 27ft FT DW SH RS,CA,NW,Colusa,flush,TRUE,TRUE,TRUE,NA,0.64,USC00041948,15,3.54
-121.813,36.354,BOTT,Bottchers Gap,NF,831-385-5434/805-961-5778,NA,NA,11,NH ND VT DW NS NR L$,CA,SE,Carmel,vault,TRUE,FALSE,FALSE,603,24.46,USC00040790,61,12.21
-122.699,39.264,CEDA,Cedar Camp,NF,530-934-1250/530-934-3316,NA,NA,6,NH ND VT NW NS NR,CA,SW,Stonyford,vault,FALSE,FALSE,FALSE,1318,18.02,USC00048587,244,38.47
-120.541,38.009,GLOI,Gloryhole Rec Area- Ironhorse - USBR,BOR,209-536-9094,all year,some SFW sites may not have tables,300,NH DP DW NS RS,CA,S,Angels Camp,NA,TRUE,TRUE,FALSE,NA,6.6,USC00046174,293,4.82
-120.535,37.985,IRON,Ironhorse- Glory Hole Area - New Melones Lake,BOR,209-536-9094,NA,NA,90,NH ND FT DW SH RS,CA,NA,Angels Camp,flush,TRUE,TRUE,TRUE,NA,NA,USC00046174,293,4.8
-120.538,38.004,BIGO,Big Oak - Glory Hole Area - New Melones Lake,BOR,209-536-9094,NA,NA,55,NH ND FT DW SH RS,CA,NA,Angels Camp,flush,TRUE,TRUE,TRUE,NA,NA,USC00046174,293,4.53
-122.576,39.286,LITS,Little Stony,NF,530-934-1250/530-934-3316,NA,RVs not recommended,13,NH ND NS NR,CA,S,Stonyford,NA,NA,FALSE,FALSE,NA,10.3,USC00048587,244,33.51
-120.52,37.978,ACOR,Acorn - Tuttletown Area - New Melones Lake,BOR,209-536-9094,NA,NA,69,FT DW RS,CA,NA,Sonora,flush,TRUE,TRUE,NA,NA,NA,USC00046174,293,4.18
-123.206,39.163,REDW,Redwood Empire Fair RV Park,CP,707-462-3884,NA,RV Parking,NA,E DP DW SH,CA,NA,Ukiah,NA,TRUE,NA,TRUE,NA,NA,USW00023275,183,4.15
-120.516,37.982,CHAM,Chamise - Tuttletown Area - New Melones Lake,BOR,209-536-9094,NA,mostly walk in sites,36,NH DP FT DW SH RS,CA,NA,Columbia,flush,TRUE,TRUE,TRUE,NA,NA,USC00046174,293,3.62
-120.522,38.044,FROV,Frogtown RV Park,CP,209-736-4237,NA,NA,NA,E DP DW SH,CA,SE,Angels Camp,NA,TRUE,NA,TRUE,471,3.06,USC00046174,293,5.37
-120.507,37.986,TUTC,Tuttletown Rec Area - Chamise,BOR,209-536-9094,all year,NA,60,NH DP DW SH RS PA,CA,SW,Columbia,NA,TRUE,TRUE,TRUE,NA,10.78,USC00046174,293,2.75
-120.505,37.978,MANZ,Manzanita - Tuttletown Area - New Melones Lake,BOR,209-536-9094,all year,NA,60,NH DP DW SH RS PA,CA,SW,Columbia,NA,TRUE,TRUE,TRUE,NA,11.27,USC00046174,293,3.38
-122.884,39.266,DEER,Deer Valley,NF,707-275-2361/530-934-3316,NA,NA,13,NH ND NS NR,CA,N,Upper Lake,NA,NA,FALSE,FALSE,1111,11.43,USC00047109,310,23.63
-122.95,39.253,MIDC,Middle Creek,NF,707-275-2361/530-934-3316,NA,NA,41,NH ND 41ft VT DW NS NR,CA,N,Upper Lake,vault,TRUE,FALSE,FALSE,NA,10.3,USC00047109,310,19.58
-122.645,39.309,OLDM,Old Mill,NF,530-934-1250/530-934-3316,NA,NA,11,NH ND 16ft VT NW NS NR,CA,SW,Stonyford,vault,FALSE,FALSE,FALSE,1135,11.43,USC00048587,244,32.21
-122.708,39.303,MAIN,Main Letts,NF,530-934-1250/530-934-3316,NA,NA,18,NH ND NS NR,CA,SW,Stonyford,NA,NA,FALSE,FALSE,1389,16.09,USC00048587,244,34.81
-120.643,38.421,INDG,Indian Grinding Rock State Park,SP,209-296-7488,NA,NA,22,NH ND 27ft FT DW SH NR,CA,NE,Pine Grove,flush,TRUE,FALSE,TRUE,749,1.61,USC00048713,483,14.62
-122.712,39.308,SADD,Saddle Camp Loop,NF,530-934-1250/530-934-3316,NA,NA,9,NR,CA,SW,Stonyford,NA,NA,FALSE,NA,1387,16.25,USC00048587,244,34.46
-122.716,39.309,SPIL,Spillway - Letts Lake,NF,530-934-1250/530-934-3316,NA,NA,9,NR,CA,SW,Stonyford,NA,NA,FALSE,NA,1377,16.42,USC00048587,244,34.52
-123.184,39.206,CHEK,Chekaka,COE,707-467-4200,early may-late dec,NA,NA,NH ND NS RS PA,CA,N,Ukiah,NA,NA,TRUE,FALSE,NA,6.6,USW00023275,183,9.02
-122.712,39.31,STIR,Stirrup - Letts Lake,NF,530-934-1250/530-934-3316,NA,NA,28,NR,CA,SW,Stonyford,NA,NA,FALSE,NA,1345,16.09,USC00048587,244,34.26
-123.485,39.084,HEND,Hendy Woods State Park,SP,707-895-3141,mid may-late dec,No RVs,92,E DP 35ft FT DW SH RS,CA,SE,Mendocino,flush,TRUE,TRUE,TRUE,NA,36.69,USW00023275,183,25.02
-120.463,37.664,BLUO,Blue Oaks,NA,NA,NA,NA,172,FT DW,CA,E,Modesto,flush,TRUE,NA,NA,NA,47.15,USC00043669,853,28.95
-122.706,39.318,MILV,Mill Valley,NF,530-934-1250/530-934-3316,NA,NA,15,NH ND 32ft VT DW NS NR,CA,SW,Stonyford,vault,TRUE,FALSE,FALSE,1264,15.29,USC00048587,244,33.24
-121.833,36.283,ANDR,Andrew Molera State Park,SP,831-667-2315,NA,long walk to sites,24,NH NR,CA,NW,Big Sur,NA,NA,FALSE,NA,NA,2.74,USC00040790,61,6.18
-123.166,39.23,BUSH,Bushay,COE,707-467-4200,early may-late aug,NA,NA,NH DP SH RS PA,CA,N,Ukiah,NA,NA,TRUE,TRUE,NA,9.66,USW00023275,183,11.95
-123.699,38.981,MANC,Manchester State Park,SP,707-882-2463,mid may-late dec,NA,48,NH DP 30ft DW NS RS,CA,NW,Manchester;,NA,TRUE,TRUE,FALSE,NA,1.61,USW00023275,183,46.02
-122.52,39.349,EAST,East Park Reservoir - USBR,BOR,530--968-5274,all year,some SFW sites may not have tables,NA,NH ND NW NS NR N$,CA,NW,Lodoga,NA,FALSE,FALSE,FALSE,NA,5.95,USC00048587,244,26.35
-122.702,39.336,DIXG,Dixie Glade,NF,NA,NA,horse camp,7,NH ND VT DW NS NR L$,CA,W,Stonyford,vault,TRUE,FALSE,FALSE,1128,14.32,USC00048587,244,31.3
-123.178,39.235,KYEN,Kyen,COE,707-467-4200,NA,NA,NA,NH DP DW SH NR,CA,N,Ukiah,NA,TRUE,FALSE,TRUE,NA,9.82,USW00023275,183,12.28
-122.93,39.301,PENN,Penny Pines,NF,707-275-2361/530-934-3316,NA,NA,10,NH ND VT NW NS NR L$,CA,N,Upper Lake,vault,FALSE,FALSE,FALSE,1117,15.29,USC00047109,310,18.41
-120.433,37.705,BLOK,Blue Oaks - Don Pedro Rec Area,CP,NA,NA,NA,NA,WE DP DW SH,CA,NE,La Grange,NA,TRUE,NA,TRUE,NA,5.31,USC00043669,853,23.93
-121.385,39.13,BEAL,Beale AFB Military,MIL,530-634-3382,NA,voted best - military only - do not use our lat/lon - contact them for directions and info,NA,RS,CA,NW,Beale Afb,NA,NA,TRUE,NA,NA,2.74,USW00093205,19,16.11
-122.837,39.322,BEAC,Bear Creek,NF,707-275-2361/530-934-3316,NA,NA,16,NH ND VT NW NS NR N$,CA,N,Upper Lake,vault,FALSE,FALSE,FALSE,689,18.67,USC00047109,310,25.53
-122.654,39.356,MILC,Mill Creek,NF,530-934-1250/530-934-3316,NA,NA,5,NH ND NS NR,CA,W,Stonyford,NA,NA,FALSE,FALSE,498,9.66,USC00048587,244,27.55
-122.653,39.362,SOU1,South Fork,NF,530-934-1250/530-934-3316,NA,NA,5,NH ND VT NW NS NR,CA,W,Stonyford,vault,FALSE,FALSE,FALSE,493,9.33,USC00048587,244,26.9
-122.654,39.362,FOUT,Fouts,NF,530-934-1250/530-934-3316,NA,NA,11,NH ND 16ft VT DW NS NR,CA,W,Stonyford,vault,TRUE,FALSE,FALSE,496,9.5,USC00048587,244,26.93
-122.656,39.362,DAVI,Davis Flat,NF,530-934-1250/530-934-3316,NA,NA,29,30ft VT DW NR,CA,S,Elk Creek,vault,TRUE,FALSE,NA,485,28.81,USC00048587,244,27
